x_m,y_m,psi_rad,kappa_radpm,w_tr_left_m,w_tr_right_m,w_total_m,boundary_ref_x_m,boundary_ref_y_m,left_x_m,left_y_m,right_x_m,right_y_m
-1.7441093208760803,0.07794645280406094,-0.08515547004759139,-0.017495055069230565,1.881955285534012,0.581129889248425,2.463085174782437,-1.6887900359881098,0.7260023567389546,-1.5840441485875438,1.9530824045072024,-1.7935359233886756,-0.501077691029293
-1.6943471797574035,0.07367783927644597,-0.08596477164069638,-0.01491272355943393,1.9323776500796215,0.5768870682203221,2.5092647182999435,-1.636156693151689,0.7489204228313531,-1.5284352991895576,1.9989198059948323,-1.7438780871138206,-0.5010789603321263
-1.6445887897177913,0.0693722118573923,-0.08664509089450467,-0.012330368191017717,1.93681317451733,0.5725996146076185,2.5094127891249487,-1.58556150713404,0.7489201786494062,-1.476983332736799,1.9989197452895413,-1.6941396815312812,-0.501079387990729
-1.5948337197724747,0.06503600008854896,-0.08719642752811829,-0.009747952578973257,1.966353978051326,0.5682730122169255,2.5346269902682517,-1.5339570984752942,0.7614206881285375,-1.4235918684300628,2.0239194053342766,-1.6443223285205255,-0.5010780290772017
-1.5450815389366854,0.060675633511565005,-0.08761877989006628,-0.007165431101384005,1.9959000362352466,0.563917938940607,2.5598179751758536,-1.4824275150534627,0.7739200902263221,-1.370426885397287,2.0489192570750583,-1.5944281447096385,-0.5010790766224141
-1.4953318162256544,0.056297541668089465,-0.08791214468296094,-0.004582750829654679,2.0254439037839074,0.5846347351518143,2.610078638935722,-1.4320810504334491,0.7739200787516702,-1.3174999689934292,2.0739196176489627,-1.546662131873469,-0.5260794601456221
-1.4455841206546125,0.05190815409977137,-0.08807651675245065,-0.001999853458271056,2.0800744846845323,0.580236545058502,2.6603110297430344,-1.379619234000287,0.7989202657914733,-1.2626151824918912,2.1239197924607214,-1.4966232855086832,-0.5260792608777747
-1.3958380212387913,0.047513900348259766,-0.08811188894045952,0.0005833227655269807,2.1095876990140283,0.5758254960163441,2.6854131950303723,-1.3283540788532338,0.8114200080317762,-1.2101986901100155,2.148917787888531,-1.4465094675964518,-0.5260777718249784
-1.3460935002604448,0.04312124641665563,-0.08801829234674763,0.003036385718141971,2.139078282301595,0.5714125930865906,2.7104908753881856,-1.2771909195103945,0.8239197880722299,-1.158058493701403,2.173918921965107,-1.3963233453193864,-0.5260793458206472
-1.2963834381011583,0.03873485686622552,-0.08807372940958125,-0.005257994348178836,2.1897079416631344,0.5670118203206016,2.756719761983736,-1.2250173363732282,0.8469381450797687,-1.1037769264273676,2.219955524621658,-1.3462577463190888,-0.5260792344621203
-1.2466717921469412,0.034335182007448194,-0.08854303666723684,-0.013548348981872028,2.2206528288235092,0.5626184569684622,2.7832712857919715,-1.1733639680338603,0.8601047972676585,-1.0503052634971466,2.246288882379109,-1.2964226725705743,-0.5260792878437921
-1.1969562677907957,0.02990128281451547,-0.08942597734324931,-0.021828465274327035,2.2530215155444804,0.5833111232195479,2.8363326387640284,-1.1223979925482195,0.8614205322323039,-0.995746047077596,2.273920087679326,-1.2490499380188431,-0.5510790232147182
-1.1472345704257239,0.025412220261619135,-0.09072210653184243,-0.03009204325208932,2.290865969638759,0.5788719319744255,2.8697379016131848,-1.069683201029715,0.877889012528928,-0.9396873604008784,2.306857167320354,-1.1996790416585517,-0.551079142262498
-1.0975044054447272,0.02084705532295098,-0.09243076723601629,-0.038332643449882284,2.338052923484122,0.5743774538477232,2.912430377331845,-1.0161114786819962,0.8989205044274604,-0.8817039663676165,2.348919572128812,-1.150518990996376,-0.5510785632738909
-1.047763478240808,0.0161848489727028,-0.09455108458610884,-0.046543635891667635,2.39342509225088,0.5698089272657932,2.963234019516673,-0.9616794329126384,0.9239202269538996,-0.8217995741178277,2.3989194095668185,-1.101559291707449,-0.5510789556590192
-0.9980094942069683,0.011404662185066392,-0.09708195828437383,-0.05471815103244428,2.4239286748415263,0.589157863570649,3.013086538412175,-0.9090877561136659,0.9244703262899898,-0.7630592219908897,2.4239196549477207,-1.055116290236442,-0.5749790023677411
-0.948240361286836,0.006485576315301126,-0.10002186679767622,-0.062472405603488754,2.470927303287687,0.5854900816785565,3.0564173849662435,-0.8541050302043608,0.9444924625369763,-0.7015054850365414,2.4650631404719245,-1.0067045753721802,-0.576078215397972
-0.8984676615523687,0.001417119553772672,-0.1028405183869543,-0.050226040466117665,2.5107676095808698,0.5805629636920506,3.0913305732729204,-0.7993908962490326,0.9614203947199165,-0.6407139215896158,2.498919271475898,-0.9580678709084494,-0.5760784820360652
-0.84869411314235,-0.003777860142909673,-0.10504965958249013,-0.03807451805938729,2.591986081261386,0.5754730326027642,3.16745911386415,-0.7429718076615925,0.9989205057560557,-0.5769073826103833,2.5739195267819985,-0.9090362327128018,-0.576078515269887
