x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
-1.27421133,0.83641990,1.37069458,1.37069458,2.74138916,-1.12454494,2.19891893,-1.42387772,-0.52607913
-1.26415797,0.83641937,1.37069097,1.37069097,2.74138193,-1.11451983,2.19891787,-1.41379611,-0.52607912
-1.25273277,0.84891958,1.38326294,1.38326294,2.76652589,-1.10175331,2.22391834,-1.40371223,-0.52607917
-1.24268122,0.84891950,1.38325934,1.38325934,2.76651867,-1.09173624,2.22391841,-1.39362620,-0.52607941
-1.23263036,0.84891960,1.38325564,1.38325564,2.76651128,-1.08172290,2.22391891,-1.38353782,-0.52607971
-1.22258027,0.84892106,1.38325073,1.38325073,2.76650145,-1.07171344,2.22391988,-1.37344711,-0.52607777
-1.21253126,0.84892042,1.38324582,1.38324582,2.76649164,-1.06170801,2.22391909,-1.36335451,-0.52607825
-1.20111230,0.86141961,1.39581546,1.39581546,2.79163091,-1.04896506,2.24891808,-1.35325955,-0.52607886
-1.19106526,0.86141962,1.39581055,1.39581055,2.79162110,-1.03896804,2.24891864,-1.34316247,-0.52607940
-1.18101893,0.86142114,1.39580451,1.39580451,2.79160902,-1.02897495,2.24891991,-1.33306292,-0.52607764
-1.17097363,0.86142060,1.39579839,1.39579839,2.79159678,-1.01898593,2.24891938,-1.32296134,-0.52607819
-1.15956062,0.87392020,1.40836673,1.40836673,2.81673346,-1.00626349,2.27391907,-1.31285775,-0.52607867
-1.14951764,0.87392051,1.40836062,1.40836062,2.81672124,-0.99628343,2.27392012,-1.30275185,-0.52607910
-1.13947559,0.87392006,1.40835328,1.40835328,2.81670656,-0.98630747,2.27391952,-1.29264370,-0.52607940
-1.12806750,0.88642004,1.42092050,1.42092050,2.84184100,-0.97360159,2.29891972,-1.28253340,-0.52607964
-1.11802808,0.88641946,1.42091194,1.42091194,2.84182388,-0.96363523,2.29891852,-1.27242093,-0.52607960
-1.10798964,0.88641935,1.42090340,1.42090340,2.84180680,-0.95367291,2.29891813,-1.26230636,-0.52607944
-1.09931713,0.87391962,1.43346922,1.43346922,2.86693844,-0.94371474,2.29891854,-1.25491951,-0.55107929
-1.08791558,0.88641959,1.44603393,1.44603393,2.89206785,-0.93103215,2.32391801,-1.24479900,-0.55107883
-1.07787999,0.88641998,1.44602416,1.44602416,2.89204832,-0.92108373,2.32391809,-1.23467626,-0.55107812
-1.06784554,0.88641981,1.44601563,1.44601563,2.89203125,-0.91113942,2.32391916,-1.22455166,-0.55107954
-1.05645007,0.89892080,1.45857912,1.45857912,2.91715823,-0.89847563,2.34891981,-1.21442451,-0.55107820
-1.04641863,0.89891965,1.45856815,1.45856815,2.91713630,-0.88854181,2.34891825,-1.20429545,-0.55107896
-1.03638799,0.89892040,1.45855841,1.45855841,2.91711681,-0.87861187,2.34892017,-1.19416411,-0.55107936
-1.02635869,0.89891943,1.45854613,1.45854613,2.91709227,-0.86868677,2.34891819,-1.18403061,-0.55107932
-1.01497193,0.91142016,1.47110842,1.47110842,2.94221683,-0.85604904,2.37391921,-1.17389483,-0.55107890
-1.00494548,0.91142086,1.47109625,1.47109625,2.94219250,-0.84613416,2.37391979,-1.16375681,-0.55107808
