x_m,y_m,left_x_m,left_y_m,right_x_m,right_y_m,w_tr_left_m,w_tr_right_m,w_total_m
-14.624486190811904,-4.489505522515675,-15.683643625417382,-4.4805209069250544,-13.37518210936149,-4.500103113167347,1.0591955412469272,1.2493490292373393,2.3085445704842664
-14.63704102483567,-4.3702427085215625,-15.681602529130904,-4.362002572867991,-13.376009219082707,-4.380216620401628,1.0445822978507733,1.261058537396666,2.3056408352474396
-14.64893452121299,-4.251000193653122,-15.679575260922746,-4.243466456927207,-13.376834800074722,-4.260349159101375,1.030644791713076,1.2721085922902193,2.3027533840032954
-14.660182931298472,-4.131774942245995,-15.677575648871231,-4.124894777218983,-13.377657323608323,-4.140519760732051,1.0173810111023938,1.2825174896421236,2.2998985007445176
-14.6708039710878,-4.012563219284305,-15.675617521054678,-4.006269751859598,-13.378475260954316,-4.020747456759124,1.0047874802173111,1.2923049892464777,2.297092469463789
-14.680811486311608,-3.893360723594754,-15.673714705551404,-3.887573598965333,-13.379287083383486,-3.901051278648057,0.992864595975234,1.301486978178559,2.2943515741537928
-14.690218408857106,-3.774162660284966,-15.671881030439732,-3.768788536652467,-13.380091262166632,-3.781450257864317,0.9816136722758017,1.3100784265314107,2.2916920988072125
-14.699046084848959,-3.6549637874772283,-15.670130323797984,-3.649896783037281,-13.380886268574551,-3.6619634258733695,0.971027611484317,1.3181027159324135,2.2891303274167303
-14.707323213604594,-3.5357585239760696,-15.668476413704475,-3.530880556236053,-13.381670573878036,-3.542609814140678,0.9610919640723966,1.3255905799026335,2.2866825439750302
-14.715080068006355,-3.4165410632528093,-15.666933128237533,-3.411722074365064,-13.382442649347883,-3.4234084541317085,0.9517907056513755,1.332574326823419,2.2843650324747946
-14.722341311025943,-3.2973054793393817,-15.665514295475472,-3.2924035555405946,-13.383200966254888,-3.304378377311928,0.9431134166649087,1.3390806602437981,2.2821940769087066
-14.729129361158428,-3.178045777401947,-15.66423374349662,-3.172907217878923,-13.383943995869846,-3.185538615146798,0.9350519119451646,1.345134049324286,2.2801859612694506
-14.735467454551074,-3.058755944681934,-15.66310530037929,-3.05321527949633,-13.384670209463549,-3.066908199101787,0.9275971725619849,1.350759796987723,2.2783569695497077
-14.741381063303754,-2.9394300014068797,-15.662142794201802,-2.933309958509095,-13.385378078306797,-2.948506160642359,0.9207379205679843,1.3559854651741783,2.2767233857421627
-14.746891532051947,-2.8200620956101616,-15.66136005304248,-2.8131734730334985,-13.38606607367038,-2.83035153123398,0.9144669748032228,1.360834519036275,2.275301493839498
-14.752013236517469,-2.700646597427149,-15.660770904979644,-2.69278804118582,-13.3867326668251,-2.7124633423421147,0.9087840841915693,1.3653234936428267,2.274107577834396
-14.756751924504128,-2.581178564862166,-15.66038727564186,-2.5721379603565,-13.38737445288826,-2.5948584681946483,0.9036956345849553,1.3694621684379582,2.2731578030229134
-14.761107326206023,-2.4616578728154535,-15.660197933733391,-2.451232837195439,-13.387965190135285,-2.4775275247767348,0.8991903230247879,1.3732765668818798,2.2724668899066676
-14.765078656210656,-2.3420881184138698,-15.660176198395591,-2.330099163884942,-13.38846340082747,-2.360443609409684,0.8952415609212635,1.376807034145147,2.2720485950664107
-14.768666652873211,-2.2224737700279107,-15.66029510738207,-2.208763740148829,-13.38882732972782,-2.24357950034187,0.8918209527210446,1.3800957048056544,2.271916657526699
-14.77187634151619,-2.102819894186478,-15.660527698446442,-2.08725336571092,-13.389015221599328,-2.1269079758216693,0.8888958315579579,1.383188984754133,2.272084816312091
-14.774713615010782,-1.9831320265761438,-15.66084700934231,-1.965594840295032,-13.388985321204984,-2.0104018140974564,0.8864326893973936,1.3861341210497506,2.2725668104471444
-14.777184258985814,-1.8634160435877993,-15.661226077823292,-1.8438149636249856,-13.388695873307784,-1.8940337934176064,0.8843981611323901,1.3889782178240262,2.2733763789564163
-14.77929462553458,-1.7436780218494046,-15.661637941642994,-1.7219405354245996,-13.38810512267072,-1.7777766920304945,0.8827583582199217,1.3917689026445437,2.274527260864465
-14.78105134668443,-1.623924129659195,-15.662055638555024,-1.599998355417693,-13.387171314056792,-1.661603288184495,0.881479160787557,1.3945540344082912,2.276033195195848
-14.782462880529293,-1.5041604841218834,-15.662452206312995,-1.4780152233280848,-13.385852692228989,-1.5454863601279842,0.8805246744088371,1.3973832465662854,2.2779079209751227
-14.783538234207748,-1.3843930920421375,-15.662800682670522,-1.3560179388795943,-13.384107501950302,-1.4293986861093366,0.8798585088656659,1.4003066683611807,2.2801651772268468
-14.78428830269358,-1.2646277363523177,-15.663074105381208,-1.23403330179604,-13.381893987983734,-1.3133130443769274,0.8794424382623166,1.4033762647132613,2.282818702975578
-14.784726422112701,-1.144869889654411,-15.663245512198664,-1.1120881118012418,-13.37917039509227,-1.1972022131791316,0.8792358448816335,1.4066463923642392,2.2858822372458727
-14.784866785595408,-1.0251247242917383,-15.663287940876502,-0.9902091686190184,-13.37589496803891,-1.0810389707643242,0.8791973005274145,1.4101722185348766,2.289369519062291
-14.784724535798029,-0.9053970960069394,-15.663174429168334,-0.8684232719731889,-13.372025951586645,-0.9647960953808808,0.8792844696213538,1.4140098178280354,2.293294287449389
-14.784314987936927,-0.7856915859229701,-15.662878014827768,-0.7467572215875723,-13.367521590498466,-0.8484463652771757,0.8794548820247244,1.4182153994070001,2.2976702814317247
-14.783653162724317,-0.6660125595449662,-15.662371735608412,-0.6252378171859878,-13.362340129537376,-0.7319625587015848,0.8796663958378151,1.4228448441960402,2.3025112400338554
-14.782751731286126,-0.5463635891817245,-15.661633551419182,-0.5038873362850013,-13.356449221920368,-0.6153220180969372,0.8798842027421444,1.4279423504679551,2.3078265532100994
