-14.46537018,-4.34848499
-14.46462822,-4.33830976
-14.46389198,-4.32813597
-14.46315956,-4.31796265
-14.46243286,-4.30779076
-14.46171093,-4.29762030
-14.46099281,-4.28745031
-14.46028042,-4.27728176
-14.45957279,-4.26711416
-14.45886993,-4.25694752
-14.45817089,-4.24678230
-14.45747757,-4.23661804
-14.45678806,-4.22645473
-14.45610428,-4.21629238
-14.45542431,-4.20613146
-14.45475006,-4.19597149
-14.45407963,-4.18581247
-14.45341396,-4.17565441
-14.45275211,-4.16549730
-14.45209599,-4.15534163
-14.45144367,-4.14518690
-14.45079708,-4.13503313
-14.45015430,-4.12488031
-14.44951534,-4.11472893
-14.44888210,-4.10457802
-14.44825268,-4.09442854
-14.44762802,-4.08428001
-14.44700718,-4.07413244
-14.44639111,-4.06398630
-14.44577980,-4.05384064
-14.44517326,-4.04369640
-14.44457054,-4.03355265
-14.44397163,-4.02341032
-14.44337845,-4.01326895
-14.44278812,-4.00312901
-14.44220352,-3.99298954
-14.44162273,-3.98285127
-14.44104576,-3.97271395
-14.44047356,-3.96257758
-14.43990517,-3.95244241
-14.43934155,-3.94230819
-14.43878269,-3.93217492
-14.43822670,-3.92204261
-14.43767643,-3.91191125
-14.43712902,-3.90178108
-14.43658638,-3.89165187
-14.43604755,-3.88152337
-14.43551350,-3.87139606
-14.43498325,-3.86126995
-14.43445683,-3.85114455
-14.43393517,-3.84102011
-14.43341732,-3.83089685
-14.43290329,-3.82077432
-14.43239307,-3.81065297
-14.43188763,-3.80053234
-14.43138599,-3.79041290
-14.43088818,-3.78029442
-14.43039417,-3.77017689
-14.42990398,-3.76006031
-14.42941856,-3.74994445
-14.42893600,-3.73982978
-14.42845821,-3.72971606
-14.42798424,-3.71960330
-14.42751408,-3.70949149
-14.42704773,-3.69938064
-14.42658520,-3.68927073
-14.42612648,-3.67916155
-14.42567158,-3.66905355
-14.42522049,-3.65894628
-14.42477322,-3.64884019
-14.42432976,-3.63873482
-14.42389011,-3.62863064
-14.42345428,-3.61852717
-14.42302227,-3.60842466
-14.42259407,-3.59832311
-14.42216873,-3.58822250
