x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
2.78499967,-1.90100724,0.88619270,0.88619270,1.77238539,3.65999770,-2.04142070,1.91000164,-1.76059377
2.78499973,-1.91085542,0.88685063,0.88685063,1.77370125,3.65999842,-2.05535913,1.91000104,-1.76635170
2.78500039,-1.92071474,0.88752683,0.88752683,1.77505365,3.65999866,-2.06931448,1.91000211,-1.77211499
2.78499984,-1.93058569,0.88822262,0.88822262,1.77644525,3.65999794,-2.08328724,1.91000175,-1.77788413
2.78500008,-1.94046980,0.88893927,0.88893927,1.77787853,3.65999961,-2.09727812,1.91000056,-1.78366148
2.78499967,-1.95036751,0.88967285,0.88967285,1.77934570,3.65999842,-2.11128664,1.91000092,-1.78944838
2.78500015,-1.96027982,0.89042720,0.89042720,1.78085441,3.65999985,-2.12531352,1.91000044,-1.79524612
2.78499990,-1.97020757,0.89119874,0.89119874,1.78239747,3.65999889,-2.13935828,1.91000092,-1.80105686
2.78499920,-1.98015124,0.89198969,0.89198969,1.78397938,3.65999818,-2.15342093,1.91000021,-1.80688155
2.78499890,-1.99011236,0.89279904,0.89279904,1.78559809,3.65999770,-2.16750240,1.91000009,-1.81272233
2.78499907,-2.00009143,0.89362670,0.89362670,1.78725341,3.65999770,-2.18160200,1.91000044,-1.81858087
2.78499949,-2.01008928,0.89447259,0.89447259,1.78894518,3.65999794,-2.19572043,1.91000104,-1.82445812
2.78499991,-2.02010655,0.89533688,0.89533688,1.79067376,3.65999866,-2.20985723,1.91000116,-1.83035588
2.78500021,-2.03014427,0.89621951,0.89621951,1.79243901,3.65999985,-2.22401285,1.91000056,-1.83627570
2.78500026,-2.04020298,0.89711790,0.89711790,1.79423580,3.65999913,-2.23818660,1.91000140,-1.84221935
2.78499984,-2.05028325,0.89803464,0.89803464,1.79606929,3.65999913,-2.25237846,1.91000056,-1.84818804
2.77612388,-2.05829466,0.90808716,0.90808716,1.81617432,3.65999937,-2.26658869,1.89224839,-1.85000062
2.76376426,-2.06540841,0.92175662,0.92175662,1.84351325,3.65999794,-2.28081608,1.86753058,-1.85000074
2.76000070,-2.07453645,0.92662233,0.92662233,1.85324465,3.65999937,-2.29506159,1.86000204,-1.85401130
2.76000053,-2.08459342,0.92763182,0.92763182,1.85526365,3.65999889,-2.30932379,1.86000216,-1.85986304
2.75999993,-2.09467530,0.92865845,0.92865845,1.85731690,3.65999913,-2.32360315,1.86000073,-1.86574745
2.76000064,-2.10478270,0.92969966,0.92969966,1.85939932,3.65999937,-2.33790016,1.86000192,-1.87166524
2.75999927,-2.11491573,0.93075675,0.93075675,1.86151350,3.65999770,-2.35221505,1.86000085,-1.87761641
2.76000028,-2.12507522,0.93182990,0.93182990,1.86365980,3.65999889,-2.36654878,1.86000168,-1.88360167
2.76000065,-2.13526076,0.93291871,0.93291871,1.86583741,3.65999961,-2.38090110,1.86000168,-1.88962042
2.75999952,-2.14547241,0.93402212,0.93402212,1.86804424,3.65999818,-2.39527178,1.86000085,-1.89567304
2.75688171,-2.15483165,0.93838133,0.93838133,1.87676266,3.65999889,-2.40966272,1.85376453,-1.90000057
2.74625951,-2.16203660,0.95057008,0.95057008,1.90114016,3.65999937,-2.42407274,1.83251965,-1.90000045
2.73591453,-2.16925174,0.96251224,0.96251224,1.92502447,3.65999985,-2.43850279,1.81182921,-1.90000069
2.76000035,-2.18658882,0.99073236,0.99073236,1.98146471,3.70999980,-2.46775007,1.81000090,-1.90542758
2.76000035,-2.19693464,0.99197632,0.99197632,1.98395265,3.70999980,-2.48244834,1.81000090,-1.91142094
2.75999970,-2.20730674,0.99323489,0.99323489,1.98646978,3.70999837,-2.49716544,1.81000102,-1.91744804
2.75999975,-2.21770495,0.99451050,0.99451050,1.98902101,3.70999932,-2.51190209,1.81000018,-1.92350781
2.75999958,-2.22812921,0.99579956,0.99579956,1.99159911,3.70999837,-2.52665734,1.81000078,-1.92960107
2.75999958,-2.23857856,0.99710452,0.99710452,1.99420904,3.70999837,-2.54143119,1.81000078,-1.93572593
2.76000047,-2.24905395,0.99842404,0.99842404,1.99684809,3.70999885,-2.55622435,1.81000209,-1.94188356
2.76000011,-2.25955397,0.99975835,0.99975835,1.99951669,3.70999789,-2.57103586,1.81000233,-1.94807208
2.76000077,-2.27007920,1.00110972,1.00110972,2.00221944,3.71000004,-2.58586717,1.81000149,-1.95429122
2.75999999,-2.28062904,1.00247312,1.00247312,2.00494624,3.70999813,-2.60071635,1.81000185,-1.96054173
2.76000053,-2.29120415,1.00385376,1.00385376,2.00770752,3.71000004,-2.61558557,1.81000102,-1.96682274
2.76000005,-2.30180383,1.00524663,1.00524663,2.01049325,3.70999861,-2.63047314,1.81000149,-1.97313452
2.75999993,-2.31242883,1.00665524,1.00665524,2.01331049,3.70999861,-2.64538121,1.81000125,-1.97947645
2.75999909,-2.32307916,1.00807862,1.00807862,2.01615724,3.70999813,-2.66030955,1.81000006,-1.98584878
