2.75999975,-1.35919154
2.75999975,-1.36920381
2.75999975,-1.37920594
2.75999999,-1.38919771
2.75999999,-1.39917898
2.75999999,-1.40914965
2.76000094,-1.41910934
2.76000118,-1.42905819
2.76000047,-1.43899596
2.75999951,-1.44892251
2.75999928,-1.45883799
2.75999975,-1.46874225
2.76000047,-1.47863507
2.75999951,-1.48851681
2.76000047,-1.49838746
2.76000047,-1.50824690
2.78500128,-1.51785171
2.78500032,-1.52778721
2.78499985,-1.53771269
2.78500032,-1.54762828
2.78500009,-1.55753422
2.78500104,-1.56743050
2.78499985,-1.57731748
2.78500009,-1.58719552
2.78499985,-1.59706450
2.78499961,-1.60692501
2.78500032,-1.61677742
2.78500032,-1.62662172
2.78500080,-1.63645828
2.78500009,-1.64628768
2.78500080,-1.65611029
2.78500104,-1.66592634
2.78500080,-1.67573631
2.78499913,-1.68554068
2.78500104,-1.69534016
2.78500032,-1.70513475
2.78499985,-1.71492541
2.78499961,-1.72471237
2.78500056,-1.73449647
2.78499985,-1.74427807
2.78500009,-1.75405788
2.78499937,-1.76383650
2.78500056,-1.77361465
2.78500032,-1.78339279
2.77286339,-1.79184043
2.75999951,-1.80009580
2.75999904,-1.80976439
2.76000023,-1.81943572
2.75999975,-1.82911015
2.76000118,-1.83878922
2.76000047,-1.84847283
2.75999999,-1.85816240
2.75999999,-1.86785865
2.78500009,-1.88134098
2.78499937,-1.89116931
2.78499961,-1.90100718
2.78499985,-1.91085541
2.78500032,-1.92071474
2.78499985,-1.93058574
2.78500009,-1.94046974
2.78499961,-1.95036745
2.78500009,-1.96027982
2.78499985,-1.97020757
2.78499913,-1.98015130
2.78499889,-1.99011242
2.78499913,-2.00009155
2.78499961,-2.01008916
2.78499985,-2.02010655
2.78500009,-2.03014421
2.78500032,-2.04020286
2.78499985,-2.05028319
2.77612376,-2.05829477
2.76376414,-2.06540847
2.76000071,-2.07453656
2.76000047,-2.08459330
2.75999999,-2.09467530
2.76000071,-2.10478258
2.75999928,-2.11491585
2.76000023,-2.12507534
2.76000071,-2.13526082
2.75999951,-2.14547253
2.75688171,-2.15483165
2.74625945,-2.16203666
2.73591447,-2.16925168
2.76000047,-2.18658876
2.76000047,-2.19693470
2.75999975,-2.20730662
2.75999975,-2.21770501
2.75999951,-2.22812915
2.75999951,-2.23857856
2.76000047,-2.24905396
2.76000023,-2.25955391
2.76000071,-2.27007914
2.75999999,-2.28062916
2.76000047,-2.29120421
2.75999999,-2.30180383
2.75999999,-2.31242871
2.75999904,-2.32307911
2.76000023,-2.33375525
2.75999951,-2.34445691
2.75301409,-2.35261083
2.74425364,-2.36006331
2.73566437,-2.36753011
2.73500013,-2.37797213
2.73499966,-2.38869190
2.73500037,-2.39943957
2.73499990,-2.41021442
2.73500013,-2.42101836
2.73499990,-2.43185163
2.73500037,-2.44271493
2.72827935,-2.45083833
2.71012044,-2.45416903
2.69230151,-2.45751619
2.67481470,-2.46088147
2.65764642,-2.46426439
2.64078712,-2.46766615
2.63500094,-2.47581029
2.63499951,-2.48650169
2.62831807,-2.49424219
2.61729050,-2.50000024
2.59375930,-2.50000024
2.58500004,-2.50663257
2.58500099,-2.51729774
2.58499980,-2.52800202
2.58209658,-2.53737402
2.56687689,-2.54088187
2.55999947,-2.54832006
2.56000090,-2.55908537
2.55683684,-2.56834173
2.54838562,-2.57500029
2.52664232,-2.57500005
2.51025510,-2.57755470
2.50999951,-2.58820128
2.51000047,-2.59902358
2.51000047,-2.60989261
2.49759388,-2.61435652
2.48499990,-2.61866593
2.48500037,-2.62957454
2.48499942,-2.64053154
2.48500037,-2.65153933
2.47670650,-2.65810919
2.46344161,-2.66194987
2.46000051,-2.67112875
2.45999956,-2.68223429
2.46000004,-2.69339252
2.45180678,-2.69999981
2.43196201,-2.70000005
2.41630387,-2.70227718
2.41000009,-2.70984817
2.40999985,-2.72106457
2.41000056,-2.73233485
2.39942503,-2.73746133
2.38715816,-2.74155951
2.38499951,-2.75161695
2.38499999,-2.76300168
2.38500071,-2.77444053
2.38500047,-2.78593183
2.38500071,-2.79747677
2.38499928,-2.80907393
2.38500047,-2.82072520
2.37303638,-2.82500029
2.35428905,-2.82500029
2.34487581,-2.83077717
2.33785248,-2.83804750
2.33500004,-2.84797025
2.33088946,-2.85711837
2.31954265,-2.86163592
2.30999994,-2.86728907
2.31000018,-2.87912822
2.30999970,-2.89101720
2.30999994,-2.90295506
2.30224276,-2.90981746
2.29132295,-2.91457510
2.28499985,-2.92237306
2.28500032,-2.93441343
2.27890801,-2.94239426
2.27165127,-2.94959116
2.25441337,-2.95000005
2.23952937,-2.95195246
2.23499990,-2.96095514
2.23499990,-2.97308874
2.23500013,-2.98525906
2.23500109,-2.99746442
2.23163438,-3.00735712
2.22418356,-3.01440763
2.21671486,-3.02143860
2.20510244,-3.02554464
2.19522476,-3.03084970
2.18544030,-3.03620315
2.18499970,-3.04817724
2.18500090,-3.06048703
2.18141961,-3.07025933
2.17080116,-3.07500052
2.15359950,-3.07500052
2.13832474,-3.07634950
2.13499999,-3.08627939
2.13500023,-3.09861565
2.13500047,-3.11096549
2.13499999,-3.12332702
2.12710810,-3.12997603
2.11812139,-3.13582373
2.10999942,-3.14229202
2.11000013,-3.15466571
2.10507274,-3.16345525
2.09685469,-3.16984510
2.08860278,-3.17620492
2.08500051,-3.18595386
2.08500051,-3.19833183
2.08499980,-3.21070957
2.08318782,-3.22176313
2.07067990,-3.22500014
2.05374360,-3.22500014
2.03894854,-3.22656393
2.03500032,-3.23604941
2.03499985,-3.24841285
2.03500009,-3.26077175
2.03500080,-3.27312422
2.03500032,-3.28546786
2.03500056,-3.29780269
2.03499961,-3.31012678
2.03500009,-3.32244039
2.02157378,-3.32500052
2.00459838,-3.32500029
1.98759651,-3.32500029
1.98500073,-3.33543134
1.98499990,-3.34772658
1.98500001,-3.36000800
1.98427033,-3.37174940
1.97172856,-3.37500024
1.95462334,-3.37500048
1.94099140,-3.37751532
1.93500006,-3.38550377
1.93500042,-3.39775825
1.93500078,-3.40999436
1.92888236,-3.41787791
1.91933525,-3.42334104
1.90999961,-3.42896724
1.91000080,-3.44117069
1.90999997,-3.45335221
1.91000009,-3.46551275
1.90619648,-3.47499967
1.88875270,-3.47500062
1.87123418,-3.47500038
1.86193728,-3.48073077
1.86000013,-3.49154472
1.86000025,-3.50367308
1.85783195,-3.51429415
1.84766042,-3.51944661
1.83740997,-3.52456880
1.83499956,-3.53501868
1.83499944,-3.54707909
1.83499968,-3.55911207
1.83298302,-3.56976843
1.82247078,-3.57474566
1.81187534,-3.57969451
1.80999911,-3.59043384
1.81000006,-3.60238957
