s,left_x,left_y,right_x,right_y
1.03395963,5.18999868,-3.53206539,4.61613680,-2.47000216
1.04629815,5.18999937,-3.55423993,4.60530425,-2.47000036
1.05694175,5.18651008,-3.56999967,4.59448391,-2.47000073
1.06833625,5.17453079,-3.56999967,4.58367436,-2.47000110
1.07972002,5.16256081,-3.56999823,4.57287670,-2.47000225
1.09109414,5.15060090,-3.56999961,4.56208841,-2.47000212
1.10245824,5.13865054,-3.56999969,4.55131054,-2.47000106
1.11381185,5.12670944,-3.56999894,4.54054443,-2.47000175
1.12526202,5.11477857,-3.56999955,4.54000089,-2.48920581
1.13702607,5.10285760,-3.56999954,4.54000041,-2.50949000
1.14707148,5.09094623,-3.56999940,4.53479041,-2.52000212
1.15897632,5.08999915,-3.59072237,4.52401009,-2.52000026
1.17148638,5.08999971,-3.61330565,4.51324177,-2.52000141
1.18163538,5.08159626,-3.61999870,4.50248253,-2.52000179
1.19297230,5.06967243,-3.61999822,4.49173252,-2.52000196
1.20429850,5.05776387,-3.61999942,4.48098861,-2.52000114
1.21561539,5.04586447,-3.61999986,4.47025428,-2.52000036
1.22692192,5.03397523,-3.62000001,4.45953036,-2.52000015
1.23821878,5.02209600,-3.61999973,4.44881602,-2.52000073
1.24871910,5.01022755,-3.61999960,4.44000056,-2.52363531
1.26060987,4.99836979,-3.61999919,4.43999989,-2.54424973
1.27493405,4.98999902,-3.62671101,4.44000088,-2.56493623
1.28949642,4.98999894,-3.64961884,4.43189248,-2.57000188
1.30133855,4.98865815,-3.66999950,4.42116756,-2.57000166
1.31263030,4.97679287,-3.66999912,4.41044956,-2.57000052
1.32391143,4.96494010,-3.66999953,4.39973990,-2.57000045
1.33518291,4.95309888,-3.66999911,4.38903829,-2.57000238
1.34644568,4.94126931,-3.66999815,4.37834229,-2.57000224
1.35837698,4.93999923,-3.69064745,4.36765309,-2.57000250
1.37114716,4.93999983,-3.71384745,4.35696939,-2.57000121
1.38131535,4.93129388,-3.71999993,4.34629212,-2.57000147
1.39135015,4.91946447,-3.71999846,4.34000076,-2.57863008
1.40342844,4.90764942,-3.71999971,4.34000080,-2.59969874
1.41527808,4.89584698,-3.71999936,4.33957579,-2.62000045
1.42652524,4.88405861,-3.71999953,4.32886968,-2.62000084
1.43776381,4.87228298,-3.71999825,4.31816820,-2.62000212
1.44899380,4.86052184,-3.71999826,4.30746928,-2.62000050
1.46021378,4.84877481,-3.71999945,4.29677634,-2.62000224
1.47058344,4.83999944,-3.72590484,4.29000109,-2.62781886
1.49300647,4.83999938,-3.74935849,4.29000105,-2.64921132
1.51374078,4.83856644,-3.76999828,4.28966430,-2.67000222
1.52497315,4.82683015,-3.76999951,4.27893564,-2.67000036
1.53619695,4.81510722,-3.76999890,4.26821119,-2.67000184
1.54741251,4.80339954,-3.76999884,4.25748769,-2.67000092
1.55861902,4.79170691,-3.76999958,4.24676723,-2.67000190
1.57046008,4.78999977,-3.79016064,4.23604763,-2.67000076
1.58344793,4.79000001,-3.81382213,4.22532893,-2.67000031
1.59360766,4.78135909,-3.81999927,4.21461231,-2.67000103
1.60480261,4.76968547,-3.81999987,4.20389608,-2.67000089
1.61599040,4.75802646,-3.82000014,4.19317941,-2.67000044
1.62666702,4.74638341,-3.82000028,4.18999989,-2.68537068
1.63907123,4.73475497,-3.81999841,4.19000076,-2.70728749
1.64934587,4.72314371,-3.81999877,4.18546853,-2.72000165
1.66052198,4.71154879,-3.82000027,4.17471134,-2.72000153
1.67169082,4.69996938,-3.82000010,4.16395290,-2.72000034
1.68218410,4.68999952,-3.82327680,4.15319372,-2.72000097
1.69523168,4.68999899,-3.84704938,4.14243328,-2.72000144
1.70799601,4.68958167,-3.87000019,4.13166922,-2.72000040
1.71915388,4.67803046,-3.86999816,4.12090474,-2.72000219
1.73030555,4.66649629,-3.86999817,4.11013561,-2.72000077
1.74144959,4.65497925,-3.86999875,4.09936446,-2.72000140
1.75198376,4.64347934,-3.86999938,4.08999993,-2.72292381
1.77155304,4.63999968,-3.88661019,4.09000029,-2.74529657
1.79469359,4.63999964,-3.91045658,4.08999998,-2.76773133
1.80488527,4.63311281,-3.91999943,4.08027592,-2.77000205
1.81602716,4.62165005,-3.91999826,4.06945479,-2.77000149
1.82716286,4.61020517,-3.91999868,4.05862840,-2.77000019
1.83829141,4.59877791,-3.91999890,4.04779855,-2.77000102
1.84840655,4.58736740,-3.91999919,4.04000044,-2.77634884
1.86109817,4.57597454,-3.91999960,4.04000117,-2.79903162
1.87323296,4.56459840,-3.91999837,4.03915652,-2.82000083
1.88435042,4.55323971,-3.91999829,4.02828013,-2.82000049
1.89546180,4.54189873,-3.91999956,4.01739833,-2.82000183
1.90723991,4.53999987,-3.93978372,4.00650941,-2.82000049
1.92031384,4.53999979,-3.96355235,3.99561436,-2.82000191
1.93041289,4.53176026,-3.96999873,3.98471210,-2.82000164
1.94151318,4.52047029,-3.96999950,3.97380146,-2.82000046
1.95260847,4.50919775,-3.96999803,3.96288359,-2.82000077
1.96369863,4.49794409,-3.96999962,3.95195673,-2.82000112
1.97375572,4.48999932,-3.97693682,3.94102177,-2.82000163
1.99605286,4.48999904,-4.00059516,3.94000080,-2.84092583
2.01733708,4.48798970,-4.01999905,3.94000091,-2.86404321
2.02745724,4.47679634,-4.01999944,3.93185128,-2.87000116
2.03853655,4.46562072,-4.01999955,3.92086783,-2.87000195
2.04961181,4.45446395,-4.01999950,3.90987445,-2.87000027
2.06068301,4.44332347,-4.01999855,3.89887226,-2.87000133
2.07175040,4.43220114,-4.01999862,3.88785984,-2.87000069
2.08281446,4.42109538,-4.01999806,3.87683743,-2.87000116
2.09387565,4.41000675,-4.01999948,3.86580392,-2.87000083
2.10493350,4.39893305,-4.01999975,3.85476166,-2.87000243
2.11517620,4.38999961,-4.02449160,3.84370790,-2.87000114
2.13470793,4.38999949,-4.04783333,3.84000097,-2.88554640
2.15749049,4.38945758,-4.06999843,3.84000089,-2.90894338
2.16757393,4.37844090,-4.07000029,3.83415377,-2.92000100
2.17862034,4.36743607,-4.06999993,3.82306581,-2.92000220
2.18966603,4.35644257,-4.06999844,3.81196807,-2.92000133
2.20070958,4.34546175,-4.07000034,3.80086178,-2.92000065
2.21175241,4.33448963,-4.06999943,3.78974823,-2.92000184
2.22279477,4.32352740,-4.06999841,3.77862579,-2.92000109
2.23383594,4.31257545,-4.06999994,3.76749527,-2.92000082
2.24487758,4.30163058,-4.06999984,3.75635676,-2.92000058
2.25591946,4.29069294,-4.06999861,3.74521073,-2.92000096
2.27322125,4.28999928,-4.09157029,3.74000023,-2.93252560
2.29647541,4.28999978,-4.11457173,3.74000081,-2.95603230
2.30811095,4.28166973,-4.11999975,3.73547546,-2.97000221
2.31914401,4.27076861,-4.11999984,3.72431030,-2.97000073
2.33017778,4.25987221,-4.11999867,3.71313952,-2.97000019
2.34121203,4.24898050,-4.11999806,3.70196245,-2.97000016
2.35149121,4.23999951,-4.12400482,3.69077952,-2.97000144
2.37385321,4.23999977,-4.14686083,3.69000089,-2.99186269
2.39700532,4.23999934,-4.16968301,3.69000049,-3.01534473
2.40715599,4.22928475,-4.17000015,3.68103260,-3.02000048
2.41818261,4.21842154,-4.17000027,3.66984252,-3.02000227
2.42921233,4.20755901,-4.16999905,3.65864565,-3.02000108
2.44024301,4.19669828,-4.16999860,3.64744470,-3.02000067
2.45127606,4.18583666,-4.16999830,3.63624053,-3.02000167
2.46231079,4.17497580,-4.16999962,3.62503168,-3.02000159
2.47334886,4.16411294,-4.16999850,3.61381848,-3.02000024
2.48438835,4.15325026,-4.16999985,3.60260226,-3.02000032
2.49543023,4.14238515,-4.16999955,3.59138329,-3.02000168
2.51463103,4.13999990,-4.18769092,3.59000062,-3.04052628
2.53764749,4.14000003,-4.21033894,3.59000018,-3.06391111
2.54835653,4.13377573,-4.21999985,3.58170987,-3.07000047
