s,left_x,left_y,right_x,right_y
0.41000000,5.61058688,-3.32000013,4.99916786,-2.27000080
0.41999999,5.59862154,-3.31999888,4.98795354,-2.27000034
0.43000001,5.58665621,-3.31999878,4.97675414,-2.27000118
0.44000000,5.57469010,-3.31999916,4.96556761,-2.27000073
0.44999999,5.56272352,-3.31999991,4.95439520,-2.27000105
0.46000001,5.55075676,-3.31999967,4.94323695,-2.27000094
0.47000000,5.53999953,-3.32209285,4.94000071,-2.28368775
0.47999999,5.54000009,-3.34283447,4.94000039,-2.30299497
0.49000001,5.53999913,-3.36363021,4.93865698,-2.32000213
0.50000000,5.53166413,-3.36999902,4.92751340,-2.32000136
0.50999999,5.51966025,-3.36999927,4.91638294,-2.32000063
0.51999998,5.50765759,-3.36999903,4.90526697,-2.32000086
0.52999997,5.49565750,-3.37000011,4.89416474,-2.32000221
0.54000002,5.48365815,-3.37000002,4.88307484,-2.32000189
0.55000001,5.47166161,-3.36999962,4.87199885,-2.32000124
0.56000000,5.45966659,-3.36999837,4.86093660,-2.32000187
0.56999999,5.44767556,-3.36999831,4.84988772,-2.32000166
0.57999998,5.43999922,-3.37758381,4.84000046,-2.32202223
0.58999997,5.43999921,-3.39871341,4.84000054,-2.34144764
0.60000002,5.43999873,-3.41990525,4.84000040,-2.36091323
0.61000001,5.42802884,-3.41999865,4.83410712,-2.37000034
0.62000000,5.41600947,-3.41999824,4.82307813,-2.37000110
0.63000000,5.40399539,-3.41999937,4.81206124,-2.37000028
0.63999999,5.39198453,-3.41999915,4.80105792,-2.37000141
0.64999998,5.37997947,-3.41999928,4.79006764,-2.37000227
0.66000003,5.36797872,-3.41999906,4.77908911,-2.37000211
0.67000002,5.35598420,-3.41999965,4.76812263,-2.37000041
0.68000001,5.34399490,-3.41999874,4.75717049,-2.37000115
0.69000000,5.33999963,-3.43431667,4.74623038,-2.37000191
0.69999999,5.33999983,-3.45585004,4.74000079,-2.37843873
0.70999998,5.33585944,-3.46999973,4.74000017,-2.39808834
0.72000003,5.32384535,-3.46999990,4.74000033,-2.41778989
0.73000002,5.31183789,-3.46999867,4.73028609,-2.42000115
0.74000001,5.29983738,-3.46999845,4.71935706,-2.42000231
0.75000000,5.28999946,-3.47390236,4.70843914,-2.42000124
0.75999999,5.28999927,-3.49566956,4.69753389,-2.42000232
0.76999998,5.28999961,-3.51750475,4.68664030,-2.42000216
