time,x,y,yaw,vel,accel,steer,theta
78,2.12302,-0.178522,-0.823172,2.03599,0.542382,-0.279641,1.99369
79,2.21598,-0.311821,-0.948803,2.03948,0.546439,-0.274125,2.12369
80,2.27408,-0.419208,-1.04578,2.03215,-0.730424,-0.258782,2.23369
81,2.32134,-0.531424,-1.14313,2.0283,0.272938,-0.232915,2.34369
82,2.3681,-0.685549,-1.26106,2.01016,0.262627,-0.207603,2.49369
83,2.39309,-0.803019,-1.33566,2.009,0.393146,-0.174578,2.60369
84,2.4098,-0.92188,-1.40631,1.99293,-0.349594,-0.156915,2.72369
85,2.41994,-1.04135,-1.46426,2.00721,0.643197,-0.141067,2.83369
86,2.42446,-1.16165,-1.51531,2.0058,-0.394138,-0.114974,2.95369
87,2.4227,-1.32283,-1.57193,2.01462,-0.434224,-0.0951019,3.10369
88,2.41457,-1.48435,-1.61465,2.01627,-0.508506,-0.0800226,3.23369
89,2.40063,-1.64537,-1.65266,2.01548,-0.495391,-0.0840008,3.37369
90,2.3862,-1.76576,-1.68104,2.02606,0.493515,-0.0966743,3.48369
91,2.36822,-1.88567,-1.711,2.01572,-0.505053,-0.0865674,3.59369
92,2.34602,-2.00484,-1.74466,2.02533,0.491191,-0.0941832,3.71369
93,2.32041,-2.12331,-1.77393,2.01493,-0.505235,-0.0851534,3.82369
94,2.29153,-2.241,-1.80235,2.02448,0.490957,-0.0914437,3.94369
95,2.25934,-2.35779,-1.83074,2.01409,-0.507014,-0.0820479,4.05369
96,2.22385,-2.4736,-1.85911,2.0232,0.443173,-0.0875092,4.16369
97,2.18513,-2.58826,-1.8875,2.01096,-0.551861,-0.076216,4.28369
98,2.14321,-2.70166,-1.91583,2.01905,0.477327,-0.0818367,4.38369
99,2.09793,-2.81423,-1.94416,2.01716,-0.541664,-0.0832469,4.49369
100,2.04952,-2.92539,-1.97257,2.02416,0.446609,-0.0813715,4.61369
101,1.99806,-3.03494,-2.00099,2.01041,-0.454533,-0.0959554,4.73369
102,1.94301,-3.14257,-2.03349,2.02101,-0.65564,-0.109287,4.86369
103,1.88435,-3.24787,-2.0682,2.00697,-0.22067,-0.113142,5.00369
104,1.811,-3.3676,-2.11153,2.02179,-0.298794,-0.0897949,5.15369
105,1.73207,-3.48492,-2.15303,2.02003,0.0944582,-0.0920488,5.28369
106,1.66129,-3.58227,-2.1884,2.00612,0.844119,-0.0774549,5.38369
107,1.58756,-3.67782,-2.21756,2.01689,0.426219,-0.0709311,5.49369
108,1.51132,-3.77124,-2.24596,2.00268,-0.334831,-0.0581423,5.60369
109,1.43253,-3.86245,-2.27389,2.01809,0.513435,-0.0475977,5.71369
110,1.35192,-3.95264,-2.29281,2.01184,-0.477187,-0.0290635,5.83369
