x_m,y_m,psi_rad,kappa_radpm,w_tr_left_m,w_tr_right_m,w_total_m,boundary_ref_x_m,boundary_ref_y_m,left_x_m,left_y_m,right_x_m,right_y_m
5.777320720879608,-2.6939085851109916,0.466085691695,-0.0508898717787,0.8336521556559179,0.48891640962688704,1.322568565282805,5.701939642018667,-2.5381336794814393,5.363879772869625,-1.9700007877097168,6.039999511167709,-3.1062665712531614
5.821942348613166,-2.671528785604569,0.463749779445,-0.0426973029521,0.9038501208198854,0.4712263872144736,1.375076508034359,5.72253131522184,-2.4789371455418925,5.37157476392925,-1.8878744743345437,6.073487866514428,-3.069999813950408
5.866612264776542,-2.6492438014005937,0.461822826995,-0.034504056931,0.9650972711568643,0.4878828814924969,1.4529801526493613,5.743232927342632,-2.445000022486068,5.37288149609745,-1.8200015745127085,6.11358435736721,-3.069998470459427
5.911321523557117,-2.6270352840978264,0.460304847332,-0.0263109631961,0.9311335241454574,0.46219486801860843,1.3933283921640658,5.800759512438082,-2.4200003309086733,5.44688032168837,-1.820001201921458,6.1546386943046905,-3.019999468778994
5.956061179142272,-2.604884885295028,0.459195830334,-0.018118591446,0.8985673714506224,0.4931361317762539,1.3917035032268763,5.870425972254455,-2.4200004856368986,5.518588667221001,-1.8200020135562096,6.222263268607795,-3.0199989563977025
6.000822285719385,-2.5827742565909606,0.458495750383,-0.00992731324295,0.8644957006880563,0.467821739827477,1.3323174405155331,5.928652993925171,-2.3949999924903675,5.593967786480185,-1.8200015296552416,6.26333819690656,-2.969998450861896
6.04559589747584,-2.5606850495843836,0.458204571936,-0.001737363697,0.8320941996406211,0.49854684038124547,1.3306410400218667,5.998324099755739,-2.395000150509821,5.666427875890415,-1.8200013326831948,6.330220323621062,-2.9699989732366654
6.090372782634278,-2.538599057016599,0.458322142344,0.00630161807918,0.8622732683774614,0.465958654534051,1.3282319229115125,6.028781136837333,-2.34500009145466,5.699510984410553,-1.7700014743716457,6.358051286034866,-2.919998698537674
6.135135714027815,-2.516504611905031,0.458712986044,0.00935748949494,0.8299270928431867,0.4964656297791528,1.3263927226223395,6.098442111885686,-2.345000255229946,5.772490959351942,-1.7700009204598917,6.42439326441943,-2.9199995822497096
6.1798897739796885,-2.4943885408055286,0.459256385118,0.012413082579,0.862478666274442,0.4607576954081716,1.3232363616826137,6.123454790083657,-2.295000556971161,5.8001594717026554,-1.7200021080013805,6.4467501039797686,-2.8699990014560512
6.224631320744622,-2.47224414697117,0.459952335379,0.0154685449293,0.8302076478721538,0.49120444073144,1.3214120886035938,6.193119897476191,-2.294999618881893,5.873384110275159,-1.7200007450573778,6.512855688883072,-2.869998488500559
6.269356712577347,-2.450064733655029,0.460800837342,0.0185240111083,0.8594552000874478,0.4616512646330615,1.3211064647205093,6.2257648494363105,-2.2459535348181707,5.908575633428155,-1.6700004709911764,6.542954066885447,-2.8219066057632043
6.314062307732583,-2.4278436041101834,0.461801895741,0.0215795994599,0.8837680617249418,0.49073216823244903,1.3745002299573907,6.282378586518938,-2.2199998473625953,5.955682325630775,-1.6200009366595416,6.6090748550920875,-2.8199987492231564
6.358744464465062,-2.4055740615897094,0.462955518933,0.0246354089208,0.8517041241562471,0.46590753400938345,1.3176116581656305,6.339359893155239,-2.195000292364411,6.0296928875669025,-1.6200010383476975,6.649026898743576,-2.7699995527343946
6.403399541029507,-2.3832494093466825,0.464261718202,0.0276915158278,0.8764431145748892,0.49743361889158394,1.3738767334664732,6.396430431867461,-2.170000036535951,6.076627189769724,-1.5700013761256453,6.716233667733053,-2.76999870071411
6.448023894567965,-2.3608629506925327,0.465720982807,0.0310853304957,0.9057008573075527,0.46764025560518907,1.3733411129127417,6.4289997557926375,-2.120433999508715,6.111506079057926,-1.5200004156893447,6.746493433957387,-2.720867593328086
6.492612485096606,-2.338405419921249,0.467498249307,0.0401127212278,0.8754482343220734,0.4984542120372438,1.3739024463593172,6.4985125514327,-2.119630815262003,6.1837224787653176,-1.5192616138857689,6.813302624100082,-2.720000016638237
6.537155626781734,-2.3158588355656535,0.469726231767,0.0491419669304,0.9014843594967586,0.4727801354467009,1.3742644949434595,6.537880082306923,-2.070000321313324,6.225385441190311,-1.4700022272722792,6.85037473241343,-2.6699984243442616
6.581642632544029,-2.2932033882030884,0.472405002302,0.0581732099585,0.8822278289311591,0.4521455426420531,1.3343733715732122,6.590022056811822,-2.041940150033392,6.2890764603956315,-1.4608987702566176,6.890967663228013,-2.6229815213826995
