s,left_x,left_y,right_x,right_y
25.02882391,3.96068597,-2.84762096,4.59101534,-3.90131807
25.03882387,3.96934891,-2.84228086,4.59943485,-3.89625692
25.04882370,3.97776794,-2.83654022,4.60809422,-3.89159012
25.05882323,3.98480844,-2.82849932,4.61812735,-3.88921690
25.06882357,3.98773336,-2.81356621,4.63227415,-3.89372969
25.07882345,3.99065638,-2.79863000,4.64641714,-3.89823794
25.08882276,3.99833584,-2.79167557,4.65579796,-3.89475727
25.09882296,4.00693798,-2.78627968,4.66425323,-3.88970995
25.10882284,4.01724720,-2.78376555,4.67099571,-3.88177276
25.11882265,4.03016329,-2.78564882,4.67512560,-3.86942911
25.12882227,4.04399729,-2.78909826,4.67833185,-3.85551071
25.13882235,4.05567884,-2.78895020,4.68368578,-3.84518027
25.14882181,4.06427002,-2.78362489,4.69212246,-3.84001708
25.15882158,4.07285166,-2.77830029,4.70056295,-3.83484268
25.16882155,4.08142328,-2.77297735,4.70900774,-3.82965660
25.17882088,4.08998251,-2.76765490,4.71745634,-3.82445860
25.18882107,4.09782219,-2.76113820,4.72661972,-3.82044387
25.19882128,4.10616779,-2.75549483,4.73526955,-3.81554341
25.20882045,4.11520147,-2.75103641,4.74322176,-3.80944657
25.21882020,4.12410641,-2.74638462,4.75129604,-3.80353022
25.22882011,4.13260365,-2.74107122,4.75977039,-3.79826260
25.23881981,4.14108610,-2.73576045,4.76825190,-3.79298091
25.24881974,4.14932680,-2.73007011,4.77696943,-3.78806877
25.25881992,4.15618038,-2.72207165,4.78706932,-3.78545618
25.26881958,4.15888500,-2.70711231,4.80131245,-3.78979731
25.27881941,4.16157961,-2.69216967,4.81556273,-3.79411650
25.28881946,4.16902637,-2.68526411,4.82505894,-3.79039478
25.29881932,4.17742586,-2.67999172,4.83360052,-3.78503752
25.30881891,4.18808699,-2.67855263,4.83987951,-3.77584648
25.31881878,4.20119905,-2.68125725,4.84370852,-3.76251221
25.32881869,4.21439981,-2.68412614,4.84745073,-3.74901652
25.33881841,4.22521400,-2.68299532,4.85358143,-3.73952436
25.34881822,4.23357964,-2.67776179,4.86216450,-3.73414063
25.35881827,4.24194098,-2.67253685,4.87075663,-3.72875500
25.36881795,4.25030041,-2.66732264,4.87935543,-3.72336769
25.37881780,4.25833225,-2.66156983,4.88828850,-3.71852899
25.38881733,4.26625061,-2.65563941,4.89734173,-3.71387982
25.39881685,4.27444267,-2.65017748,4.90612984,-3.70877600
