x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
6.07820492,-2.34500031,0.66144656,0.66144656,1.32289311,5.75126743,-1.77000168,6.40514241,-2.91999894
6.08961195,-2.34500079,0.66117309,0.66117309,1.32234619,5.76322837,-1.77000199,6.41599553,-2.91999959
6.10100528,-2.34500010,0.66089844,0.66089844,1.32179688,5.77517965,-1.77000061,6.42683091,-2.91999958
6.11239156,-2.34500060,0.66062015,0.66062015,1.32124031,5.78712913,-1.77000204,6.43765398,-2.91999916
6.11500048,-2.32947839,0.66095826,0.66095826,1.32191651,5.79000122,-1.75394273,6.43999973,-2.90501406
6.11500012,-2.30929635,0.66183839,0.66183839,1.32367677,5.79000133,-1.73274988,6.43999892,-2.88584282
6.11834502,-2.29500040,0.65978026,0.65978026,1.31956052,5.79479165,-1.72000196,6.44189839,-2.86999884
6.12973832,-2.29500075,0.65949830,0.65949830,1.31899659,5.80676033,-1.72000229,6.45271630,-2.86999920
6.14112208,-2.29500010,0.65921631,0.65921631,1.31843262,5.81872154,-1.72000094,6.46352262,-2.86999926
6.15249553,-2.29499972,0.65893311,0.65893311,1.31786622,5.83067461,-1.72000047,6.47431644,-2.86999898
6.16385821,-2.29500079,0.65864868,0.65864868,1.31729736,5.84261887,-1.72000220,6.48509755,-2.86999937
6.17521042,-2.29499992,0.65836547,0.65836547,1.31673095,5.85455312,-1.72000079,6.49586772,-2.86999904
6.18655290,-2.29499970,0.65808108,0.65808108,1.31616217,5.86647914,-1.72000100,6.50662667,-2.86999839
6.19788674,-2.29499956,0.65779784,0.65779784,1.31559569,5.87839628,-1.72000056,6.51737720,-2.86999856
6.20905774,-2.29473073,0.65782346,0.65782346,1.31564692,5.89000113,-1.71946160,6.52811436,-2.86999987
6.21442220,-2.28398597,0.66982181,0.66982181,1.33964362,5.89000085,-1.69797228,6.53884355,-2.86999966
6.21500020,-2.26455544,0.67195677,0.67195677,1.34391353,5.89000102,-1.67642159,6.53999939,-2.85268929
6.21918922,-2.25162065,0.66422851,0.66422851,1.32845702,5.89837864,-1.67000214,6.53999981,-2.83323915
6.22687191,-2.24499943,0.65638916,0.65638916,1.31277832,5.91029238,-1.67000019,6.54345144,-2.81999868
6.23819728,-2.24499990,0.65610962,0.65610962,1.31221925,5.92219661,-1.67000128,6.55419794,-2.81999853
6.24951448,-2.24499974,0.65583249,0.65583249,1.31166498,5.93408990,-1.67000096,6.56493906,-2.81999851
6.25783638,-2.23954856,0.66177128,0.66177128,1.32354255,5.94000084,-1.65909892,6.57567192,-2.81999821
6.26319915,-2.22868310,0.67387817,0.67387817,1.34775633,5.94000052,-1.63736726,6.58639778,-2.81999895
6.26976634,-2.22000074,0.68349000,0.68349000,1.36698001,5.94241387,-1.62000162,6.59711882,-2.81999986
6.28107094,-2.21999983,0.68320801,0.68320801,1.36641602,5.95430709,-1.62000102,6.60783480,-2.81999863
6.29236804,-2.21999998,0.68292969,0.68292969,1.36585938,5.96618811,-1.62000030,6.61854796,-2.81999966
6.30365521,-2.21999991,0.68265259,0.68265259,1.36530518,5.97805523,-1.62000056,6.62925518,-2.81999925
6.31493458,-2.21999964,0.68237793,0.68237793,1.36475586,5.98990994,-1.62000079,6.63995922,-2.81999849
6.32087555,-2.21014265,0.67089967,0.67089967,1.34179934,6.00175152,-1.62000180,6.63999957,-2.80028350
6.32678932,-2.20021592,0.65935547,0.65935547,1.31871095,6.01357881,-1.62000146,6.63999982,-2.78043038
6.33525037,-2.19500042,0.65317505,0.65317505,1.30635010,6.02539027,-1.62000098,6.64511047,-2.76999987
6.34651943,-2.19500007,0.65292357,0.65292357,1.30584714,6.03718883,-1.62000114,6.65585003,-2.76999900
6.35329535,-2.18664596,0.66215943,0.66215943,1.32431887,6.04000096,-1.60329209,6.66658973,-2.76999984
6.35866361,-2.17565379,0.67438235,0.67438235,1.34876470,6.04000074,-1.58130917,6.67732648,-2.76999841
6.36690315,-2.17000011,0.68054566,0.68054566,1.36109132,6.04574133,-1.57000220,6.68806496,-2.76999801
6.37816568,-2.17000029,0.68029906,0.68029906,1.36059813,6.05752816,-1.57000163,6.69880321,-2.76999895
6.38941969,-2.16999970,0.68005618,0.68005618,1.36011235,6.06929892,-1.57000046,6.70954046,-2.76999895
6.40066901,-2.17000024,0.67981566,0.67981566,1.35963132,6.08105774,-1.57000193,6.72028027,-2.76999855
6.41051063,-2.16736934,0.68255981,0.68255981,1.36511962,6.09000101,-1.56474053,6.73102025,-2.76999814
6.41499996,-2.15466467,0.69295411,0.69295411,1.38590821,6.09000078,-1.54265084,6.73999913,-2.76667850
6.41499993,-2.13346507,0.69377687,0.69377687,1.38755375,6.08999999,-1.52052022,6.73999987,-2.74640992
6.42073054,-2.12303470,0.68233647,0.68233647,1.36467294,6.10146181,-1.52000027,6.73999928,-2.72606914
6.43037961,-2.12000003,0.67868531,0.67868531,1.35737063,6.11318213,-1.52000044,6.74757709,-2.71999963
6.44163056,-2.12000004,0.67847169,0.67847169,1.35694339,6.12488819,-1.52000162,6.75837293,-2.71999847
6.45287402,-2.12000058,0.67826416,0.67826416,1.35652832,6.13657617,-1.52000229,6.76917187,-2.71999886
6.46411309,-2.11999985,0.67806275,0.67806275,1.35612550,6.14824894,-1.52000074,6.77997723,-2.71999896
6.47534523,-2.12000023,0.67786622,0.67786622,1.35573244,6.15990418,-1.52000060,6.79078627,-2.71999987
6.48657167,-2.12000016,0.67767457,0.67767457,1.35534914,6.17154270,-1.52000051,6.80160063,-2.71999980
6.49779565,-2.12000095,0.67748778,0.67748778,1.35497555,6.18316778,-1.52000179,6.81242352,-2.72000011
6.50662621,-2.11544175,0.68245244,0.68245244,1.36490489,6.19000038,-1.51088454,6.82325204,-2.71999896
6.51204534,-2.10435602,0.69478757,0.69478757,1.38957513,6.19000063,-1.48871248,6.83409005,-2.71999956
6.51590954,-2.09027519,0.69983888,0.69983888,1.39967776,6.19181982,-1.47000081,6.83999926,-2.71054958
6.52170652,-2.07987293,0.68793455,0.68793455,1.37586910,6.20341399,-1.47000097,6.83999905,-2.68974489
6.52778597,-2.07000060,0.67663817,0.67663817,1.35327635,6.21499148,-1.47000158,6.84058046,-2.66999962
6.53901426,-2.07000029,0.67648314,0.67648314,1.35296629,6.22655331,-1.47000230,6.85147522,-2.66999829
6.55023718,-2.07000034,0.67633665,0.67633665,1.35267331,6.23809638,-1.47000085,6.86237797,-2.66999984
6.56145941,-2.07000112,0.67619383,0.67619383,1.35238766,6.24962745,-1.47000202,6.87329138,-2.67000022
6.57267819,-2.07000080,0.67605714,0.67605714,1.35211427,6.26114233,-1.47000192,6.88421406,-2.66999968
6.58132102,-2.06504033,0.67033816,0.67033816,1.34067632,6.27264199,-1.47000209,6.89000004,-2.66007857
6.58706169,-2.05448017,0.65832154,0.65832154,1.31664308,6.28412395,-1.47000094,6.88999944,-2.63895940
6.59057445,-2.03960023,0.65361203,0.65361203,1.30722405,6.29000058,-1.45920034,6.89114833,-2.62000011
6.59606734,-2.02852867,0.66596924,0.66596924,1.33193848,6.29000122,-1.43705715,6.90213347,-2.62000018
6.60288136,-2.02000011,0.67546509,0.67546509,1.35093017,6.29263412,-1.42000033,6.91312861,-2.61999988
6.61410620,-2.02000018,0.67536254,0.67536254,1.35072509,6.30407864,-1.42000228,6.92413375,-2.61999808
6.62532612,-2.02000021,0.67526854,0.67526854,1.35053708,6.31550388,-1.42000206,6.93514837,-2.61999836
6.63654640,-2.02000036,0.67518186,0.67518186,1.35036371,6.32691559,-1.42000094,6.94617722,-2.61999977
6.64776479,-2.02000037,0.67509886,0.67509886,1.35019772,6.33831320,-1.42000188,6.95721639,-2.61999885
6.65413457,-2.01059725,0.68560307,0.68560307,1.37120614,6.34000048,-1.40119480,6.96826867,-2.61999969
6.65966733,-1.99955953,0.69794800,0.69794800,1.39589600,6.34000053,-1.37912053,6.97933413,-2.61999852
