x_m,y_m,psi_rad,kappa_radpm,w_tr_left_m,w_tr_right_m,boundary_ref_x_m,boundary_ref_y_m,left_x_m,left_y_m,right_x_m,right_y_m
0.15995842581102504,0.244608585871239,-1.3910713107667019,-0.42346243182442456,0.6274460525976328,0.4990133296277968,0.1632856726646423,0.2127832174301147,0.05175712287317,0.8626547224685822,0.2422891303402179,-0.2475661374109984
0.20918704812103725,0.2530379473182873,-1.4109155167716878,-0.37153409834288603,0.625578536220496,0.5072142663527118,0.21407908030573022,0.22015284705661003,0.12096946475804994,0.8723651330330537,0.2808701143931929,-0.24908539410445663
0.25857065540137486,0.2605056265981285,-1.431035325995213,-0.43337884469911137,0.6246936465560159,0.5148458313947021,0.26489031144732234,0.2273675092964625,0.1903044231345105,0.8814580189596839,0.31936695350671085,-0.2507379946248547
0.30810153947689134,0.2669250790676633,-1.4528399858993442,-0.43962862094288746,0.61408952090283,0.5239751548455892,0.31602801642464323,0.23175198765899013,0.2618801353091088,0.8792726286499456,0.35632768960394023,-0.25482601229620006
0.3577598700924386,0.2722677547534674,-1.4742007240454151,-0.4163529557844762,0.6046630051726934,0.5322862603469747,0.3671831949425466,0.2358182531121833,0.3334086786282451,0.8764402212717182,0.39318769884980076,-0.2588381969206843
0.4075196906419179,0.2765637728481212,-1.4952247324225645,-0.4254165294247103,0.59146739798368,0.5391950826336636,0.41849130595910616,0.23713835864070598,0.4045331070831591,0.8680236304853335,0.4291799203597335,-0.2621960730803729
0.45735959518831626,0.27980239798553325,-1.5166482980358533,-0.4324753175487301,0.5801581006591364,0.5453961891271457,0.4697973398702069,0.23797533744714727,0.47552480592854207,0.859676045325348,0.4651008189706993,-0.2655388498297814
0.5072577415134771,0.2819641930299777,-1.5384013075040348,-0.43849679735987984,0.5710402936009221,0.5508037661290686,0.5210915340138684,0.2361938791799299,0.5457963372365542,0.8517025483787471,0.5006347573416392,-0.2687997535593259
0.5571911957151462,0.28303405525360953,-1.5603689310003308,-0.44132569821408935,0.5643401368722935,0.5553567456382972,0.5723439043476417,0.23376977344325275,0.6160299677110929,0.8442985107423283,0.5361812030718962,-0.27192512805187546
0.6071360699047931,0.28300183886930375,-1.5825653079985613,-0.4475149515153015,0.5616461965549777,0.558655580462495,0.6234368584061953,0.2288942490279901,0.68611919181556,0.8390666881071437,0.5717754440027839,-0.2745335265719436
0.6570677936896743,0.28185331298758887,-1.6050763017275353,-0.45356702706888335,0.5596202068479219,0.5608149554771152,0.6744519314032648,0.22337045928974247,0.7523640492528729,0.833299955545275,0.6105483925564961,-0.2770289282806493
0.7069607689652793,0.27957671592644673,-1.6277041903505922,-0.45259471761661635,0.5556298680949708,0.5608861796770074,0.7252447384965499,0.2159980891170627,0.8076460392327716,0.8260078887839226,0.6583856390949647,-0.2792020983737648
0.7567893659339571,0.2761728969353811,-1.6502924239182302,-0.4522790754595039,0.5522255425401892,0.5590787971155857,0.7760863504297528,0.2089930890352558,0.8579579758487471,0.8190522225701997,0.7102803084814355,-0.28096802685238764
0.8065281738359064,0.27164233541923133,-1.6730188492870315,-0.4579046340582232,0.5487538856508039,0.5546049670904175,0.8270362992227865,0.2028006751389418,0.8972763166799596,0.812840636956857,0.7711505568081997,-0.28183313263224785
0.8561503114064911,0.2659747448642346,-1.6960829215139013,-0.4656660414776577,0.5468512148136003,0.5490559237017772,0.8780562531475236,0.1972877567703005,0.9366554225696172,0.8068676901128515,0.8318975762215065,-0.2825452749965348
0.9056271717431528,0.25915476665653747,-1.7195303363548942,-0.4733723744099765,0.5467249757060837,0.5423044784205622,0.9291988988999551,0.1929669129778163,0.9761410376129831,0.801313409288848,0.8924282675906285,-0.282989066882285
0.9549288846029241,0.2511665315723945,-1.7434015334868191,-0.4823606932630551,0.548949367902482,0.536369700991375,0.9803930083666903,0.18942558946441362,1.0157497097350343,0.7967361749276529,0.9527954335743021,-0.28519892642083366
1.0040239424951567,0.24199368453748402,-1.7676664499989225,-0.4890695256633658,0.5539435902131159,0.5319686214902959,1.0316596866440144,0.1869840142234428,1.0555319626245976,0.7935373591458885,1.0129318556733433,-0.28990034939511755
1.0528803709222594,0.2316254626034834,-1.7921929466935849,-0.49432605188104073,0.5616431119095492,0.5293354745658568,1.0829492171395325,0.1852384132102997,1.1007189737217107,0.7912275115969075,1.0687936801593458,-0.29747075853496485
1.1014648387348496,0.22004967640296139,-1.8173578338738885,-0.5130592482282839,0.5721283655292582,0.5286883887755408,1.1342650440570596,0.18428863349841462,1.1520863195249842,0.7899341667392,1.119767802930021,-0.30832179702056445
1.149737223136003,0.20723375761597496,-1.8433756531092411,-0.5282337643178383,0.5855825425470544,0.5288055033559868,1.185543116025697,0.18232752762535584,1.2122931229330502,0.7894653898178458,1.163148964533149,-0.32140164185352194
1.1976551192678393,0.19315092784552218,-1.8699868146761864,-0.5375417349490178,0.6023668457459346,0.5297077537825571,1.236785672188096,0.17942611031860484,1.2807183369242863,0.7897632967471938,1.1994698720583437,-0.3365537173008759
1.2451774551601487,0.1777864652496684,-1.8971003144369878,-0.5480792553820559,0.6209032146752391,0.5332525312581741,1.2878953319901667,0.17494215861647436,1.3494965143328064,0.7898635322006999,1.2345259042518046,-0.3553596747124408
1.2922615878413366,0.1611273838041071,-1.924710786999113,-0.5575511365867466,0.6412442713905393,0.5385677376233197,1.3389048620878674,0.1692645951980563,1.4185410507969949,0.7898146771597261,1.2686279957449023,-0.3769215557295754
1.3388635665825428,0.14316387671417088,-1.9527903075472122,-0.567004623799162,0.6670685923470163,0.5392933061569086,1.3896770699323184,0.16187746560980792,1.4887993185618429,0.793163705309711,1.3023679178700143,-0.3948931255548274
1.3849380155443372,0.12388768346841253,-1.9813760988426201,-0.5778606569874312,0.6969812676202237,0.5368152159618331,1.4403049898071703,0.15345097428316232,1.5597954917455334,0.7985785389200348,1.3358876501069497,-0.4106818982874224
1.4304367668913311,0.10328950817848492,-2.010546850122704,-0.59042308634529,0.7290012289024689,0.5298794996459326,1.490435304080282,0.14258221844904045,1.6435068929914185,0.800458005103728,1.359758245286502,-0.4218550726073969
1.4753081792583955,0.08135836788177732,-2.0403866788359006,-0.6047511790444131,0.7641622578139768,0.5211361717124209,1.5403246596393168,0.13053083367624094,1.7333754469610085,0.8006255238174995,1.3789563934801865,-0.43079321401993653
1.5194964030913314,0.05808149747302084,-2.0710050299980343,-0.6208381909789691,0.8034027703489972,0.5114256134373215,1.5889505396332169,0.11432594742179365,1.831540201508564,0.7984089110366339,1.3945760273895196,-0.4378530322930147
1.562942391777449,0.03344721563875211,-2.102300584361116,-0.6322164056541584,0.846893099871219,0.5018934459751313,1.6371002625443971,0.09655602542331321,1.9328308582043139,0.7952939489216772,1.4088472357170896,-0.44420507839062395
1.6055891945950491,0.007454056241547344,-2.1341244246098996,-0.6423499039199334,0.8885180387254483,0.49224593501613495,1.6833694852781311,0.07448633073377493,2.0366667537794383,0.7843944935391222,1.4240452785776363,-0.4500914246638721
1.647379923928998,-0.01989410456633732,-2.1665028930329253,-0.6545605386934631,0.9326578926330659,0.48297547872671664,1.729105405918946,0.05119736638075263,2.1412243017890167,0.7712875908404778,1.4395061298056007,-0.4558457059718656
