x_m,y_m,psi_rad,kappa_radpm,w_tr_left_m,w_tr_right_m,w_total_m,boundary_ref_x_m,boundary_ref_y_m,left_x_m,left_y_m,right_x_m,right_y_m
7.053596989128239,19.252970215200193,2.8531494213833675,-0.08989851894947061,2.1935908381598446,0.6749110893472827,2.8685019275071273,6.837595080373214,18.525000284311883,6.429607884854563,17.150001275104657,7.2455822758918655,19.89999929351911
7.005775359681841,19.26727926977483,2.848508091589923,-0.09600633672963083,2.2115854621062936,0.7131295238051079,2.924714985911401,6.789318437471414,18.55000041843129,6.366833672980564,17.150001825225996,7.211803201962264,19.949999011636578
6.958129580283797,19.281784466688183,2.8435827134812444,-0.10170880469733677,2.230078114789973,0.6990254727523842,2.929103587542357,6.733356931605691,18.550000479039642,6.303337509968932,17.150002174164396,7.163376353242451,19.94999878391489
6.910605767256764,19.296515750576415,2.838390040890941,-0.1069384452561512,2.301497679762911,0.6847153632449898,2.986213043007901,6.669237742900401,18.52499922996939,6.223428597702448,17.100000531508407,7.1150468880983535,19.949997928430374
6.8631500369234075,19.311503066075677,2.832948918334308,-0.11163495377590846,2.321187023524334,0.7127640880170555,3.0339511115413895,6.618857341235666,18.54529345787432,6.158050622268113,17.1000004064276,7.079664060203218,19.990586509321037
6.815708505606388,19.326776357822126,2.827280060627997,-0.11574676466894022,2.3414867804578154,0.707903710786112,3.0493904912439276,6.563186936279651,18.55000015555775,6.091807863715134,17.100001065223402,7.034566008844168,19.9999992458921
6.768227289628364,19.342365570451914,2.8214057963302803,-0.11923234144532845,2.186624898960269,0.6928461080620723,2.8794710070223415,6.5331483885297565,18.63343561672405,6.080000382813931,17.266872334257286,6.986296394245581,19.999998899190814
6.720652505311996,19.35830064860121,2.8153497815215385,-0.12206113294921302,2.1201302890053837,0.6774309023748256,2.7975611913802094,6.489469776795765,18.674999890455986,6.041179692660579,17.35000058655231,6.937759860930951,19.999999194359667
6.6729961921860514,19.374588772142122,2.8091484061467504,-0.12243426885705855,2.122233945554527,0.661637161039128,2.783871106593655,6.434660084173282,18.68427605941585,5.980395764417936,17.368552489539198,6.888924403928628,19.9999996292925
6.626051565415122,19.39094659536812,2.803643343521488,-0.09927380575258928,2.099364826603638,0.6985649515020063,2.7979297781056442,6.3938317985336806,18.73016368669787,5.930000660074167,17.41032906228543,6.857662936993195,20.04999831111031
6.578976804716152,19.40761151422154,2.79924058506261,-0.0772291838830041,1.5153785559293578,0.6819625802393183,2.197341136168676,6.439086436710147,19.01508606017685,6.070258781446079,17.980173900673847,6.807914091974213,20.049998219679853
6.531827725553874,19.42450808564105,2.79590753743809,-0.05598066029257688,1.3334475984888872,0.6648188828474452,1.9982664813363322,6.418548199292306,19.10997058584963,6.080000549371242,18.169942543001444,6.7570958492133695,20.04999862869782
6.484660143393019,19.441560866565357,2.793621761154916,-0.03522705317575688,1.186715601520339,0.699385149091792,1.886100750612131,6.401572490687654,19.212499336766122,6.0800007864092995,18.32596921918837,6.723144194966008,20.099029454343874
6.437529873698321,19.458694413933152,2.7923706263732004,-0.014677474833030165,1.0734894781942437,0.6825003992559937,1.7559898774502374,6.370638113677918,19.275000082491985,6.070217309599118,18.450001626188232,6.671058917756718,20.099998538795735
6.390492731934512,19.475833284683112,2.7921511607164557,0.005956667447417219,1.0529221795617127,0.6643123718763901,1.7172345514381029,6.32396795817467,19.293271377009283,6.03000049320655,18.486545428682703,6.617935423142791,20.099997325335863
6.343604533566325,19.492902035753932,2.7929700885242923,0.02696972131093031,1.0032511242728277,0.6920170665429521,1.6952681908157798,6.290445202855089,19.34664628294029,6.0008903801691025,18.550002344686046,6.580000025541077,20.14329022119454
6.296921094058491,19.509825224084306,2.7948440663565943,0.04867022462016299,0.9325532943633454,0.6806857539071028,1.6132390482704482,6.254123545997716,19.3913866984102,5.980000586060893,18.63277503256818,6.52824650593454,20.149998364252227
6.249422863500467,19.526922193219953,2.797315558829726,0.048702572781758977,0.9315864002979081,0.6619190975049735,1.5935054978028815,6.203914310986571,19.400000622173128,5.934997286650006,18.650001570904415,6.472831335323137,20.14999967344184
