x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
7.33822420,18.77499977,1.61858152,1.61858152,3.23716305,6.79583585,17.25000107,7.88061256,20.29999846
7.33244452,18.78884896,1.63336056,1.63336056,3.26672112,6.78488999,17.25000175,7.87999905,20.32769618
7.32571051,18.80000032,1.64527590,1.64527590,3.29055180,6.77395228,17.25000172,7.87746874,20.34999891
7.31500775,18.80000108,1.64535403,1.64535403,3.29070806,6.76301590,17.25000273,7.86699960,20.34999943
7.30430639,18.80000024,1.64543092,1.64543092,3.29086184,6.75208724,17.25000123,7.85652554,20.34999925
7.29360499,18.80000003,1.64550416,1.64550416,3.29100832,6.74116309,17.25000264,7.84604689,20.34999741
7.28290534,18.80000083,1.64557865,1.64557865,3.29115731,6.73024355,17.25000275,7.83556713,20.34999891
7.27220589,18.80000039,1.64565064,1.64565064,3.29130127,6.71933080,17.25000196,7.82508098,20.34999883
7.26150801,18.79999977,1.64572015,1.64572015,3.29144030,6.70842414,17.25000201,7.81459187,20.34999753
7.25081085,18.80000013,1.64578859,1.64578859,3.29157718,6.69752155,17.25000302,7.80410015,20.34999723
7.24011345,18.79999942,1.64585694,1.64585694,3.29171389,6.68662312,17.25000150,7.79360378,20.34999733
7.22048788,18.77499994,1.67247072,1.67247072,3.34494143,6.65787167,17.20000112,7.78310409,20.34999877
7.20979139,18.77500055,1.67253544,1.67253544,3.34507088,6.64698230,17.20000190,7.77260048,20.34999919
7.19909532,18.77499922,1.67259888,1.67259888,3.34519776,6.63609843,17.20000033,7.76209221,20.34999812
7.18840011,18.77499903,1.67265981,1.67265981,3.34531963,6.62522097,17.20000058,7.75157926,20.34999747
7.17770754,18.77499992,1.67271982,1.67271982,3.34543963,6.61435047,17.20000138,7.74106460,20.34999846
7.16701516,18.77499937,1.67277838,1.67277838,3.34555676,6.60348487,17.20000060,7.73054545,20.34999814
7.16131545,18.78894063,1.68764155,1.68764155,3.37528309,6.59263075,17.20000020,7.73000014,20.37788107
7.15458678,18.80000080,1.69944339,1.69944339,3.39888679,6.58177867,17.20000120,7.72739488,20.40000040
7.14390277,18.80000045,1.69949593,1.69949593,3.39899186,6.57093708,17.20000147,7.71686846,20.39999943
7.13321870,18.79999947,1.69954838,1.69954838,3.39909677,6.56009881,17.20000000,7.70633859,20.39999894
7.12253886,18.80000105,1.69959718,1.69959718,3.39919436,6.54927364,17.20000181,7.69580407,20.40000029
7.11185820,18.79999980,1.69964599,1.69964599,3.39929198,6.53844993,17.19999998,7.68526647,20.39999963
7.10118047,18.79999931,1.69969119,1.69969119,3.39938237,6.52763701,17.19999992,7.67472392,20.39999869
7.09050447,18.80000108,1.69973511,1.69973511,3.39947022,6.51683039,17.20000186,7.66417855,20.40000029
7.07983049,18.80000006,1.69977654,1.69977654,3.39955307,6.50603384,17.20000079,7.65362714,20.39999934
7.06915656,18.79999977,1.69981686,1.69981686,3.39963371,6.49523886,17.20000108,7.64307425,20.39999847
7.05848778,18.80000039,1.69985478,1.69985478,3.39970956,6.48446020,17.20000082,7.63251537,20.39999995
7.03884824,18.77500001,1.72645139,1.72645139,3.45290279,6.45574300,17.15000072,7.62195348,20.39999930
7.02818030,18.77500094,1.72648566,1.72648566,3.45297131,6.44497321,17.15000179,7.61138738,20.40000008
7.01751403,18.77500018,1.72651860,1.72651860,3.45303720,6.43421014,17.15000078,7.60081792,20.39999958
7.00685189,18.77500051,1.72654671,1.72654671,3.45309343,6.42346128,17.15000237,7.59024250,20.39999865
6.99635855,18.77546688,1.72707033,1.72707033,3.45414067,6.41271749,17.15000231,7.57999961,20.40093144
6.99099039,18.79019999,1.74275146,1.74275146,3.48550291,6.40198075,17.15000174,7.58000003,20.43039823
6.98385656,18.79999968,1.75318730,1.75318730,3.50637461,6.39125946,17.15000138,7.57645365,20.44999799
6.97320387,18.79999988,1.75320921,1.75320921,3.50641843,6.38054250,17.15000138,7.56586524,20.44999838
6.96255478,18.80000020,1.75322758,1.75322758,3.50645515,6.36983732,17.15000234,7.55527223,20.44999807
6.95190853,18.80000081,1.75324468,1.75324468,3.50648937,6.35914162,17.15000254,7.54467545,20.44999909
6.94126409,18.80000020,1.75326051,1.75326051,3.50652102,6.34845178,17.15000141,7.53407639,20.44999898
6.93062187,18.79999937,1.75327273,1.75327273,3.50654547,6.33777194,17.15000111,7.52347179,20.44999762
6.91998369,18.79999914,1.75328257,1.75328257,3.50656514,6.32710553,17.15000057,7.51286184,20.44999770
6.90934901,18.80000019,1.75329108,1.75329108,3.50658217,6.31644769,17.15000090,7.50225032,20.44999948
6.89871647,18.79999980,1.75329471,1.75329471,3.50658943,6.30580064,17.15000187,7.49163230,20.44999773
6.88808798,18.80000071,1.75329835,1.75329835,3.50659670,6.29516401,17.15000184,7.48101194,20.44999958
6.87746053,18.79999956,1.75329841,1.75329841,3.50659682,6.28453521,17.15000111,7.47038585,20.44999801
6.85785396,18.77499916,1.77986217,1.77986217,3.55972433,6.25595033,17.10000025,7.45975759,20.44999807
6.84723489,18.77500025,1.77985720,1.77985720,3.55971440,6.24534644,17.10000117,7.44912335,20.44999934
6.83661808,18.77499991,1.77985109,1.77985109,3.55970217,6.23474915,17.10000030,7.43848702,20.44999951
6.82708370,18.77799677,1.78302612,1.78302612,3.56605224,6.22416777,17.09999960,7.42999963,20.45599395
6.82179903,18.79281516,1.79875730,1.79875730,3.59751460,6.21359809,17.10000110,7.42999998,20.48562922
6.81377488,18.79999972,1.80637704,1.80637704,3.61275408,6.20303740,17.10000039,7.42451235,20.49999906
6.80319227,18.80000045,1.80634394,1.80634394,3.61268789,6.19255175,17.10000145,7.41383279,20.49999945
6.79261530,18.80000054,1.80630739,1.80630739,3.61261479,6.18208287,17.10000155,7.40314773,20.49999952
6.78204104,18.80000014,1.80626953,1.80626953,3.61253905,6.17162432,17.09999983,7.39245775,20.50000044
6.77147304,18.80000017,1.80622554,1.80622554,3.61245107,6.16118255,17.10000128,7.38176353,20.49999905
6.76090785,18.80000102,1.80618172,1.80618172,3.61236344,6.15074880,17.10000151,7.37106690,20.50000053
6.75034803,18.79999978,1.80613403,1.80613403,3.61226807,6.14033188,17.09999965,7.36036418,20.49999991
6.73979208,18.80000029,1.80608283,1.80608283,3.61216566,6.12992658,17.10000051,7.34965759,20.50000007
6.72924008,18.80000016,1.80602901,1.80602901,3.61205802,6.11953168,17.10000121,7.33894848,20.49999912
6.71869362,18.80000041,1.80597289,1.80597289,3.61194578,6.10915327,17.10000081,7.32823397,20.50000001
6.70815238,18.80000064,1.80591303,1.80591303,3.61182606,6.09878969,17.10000094,7.31751507,20.50000034
6.69761455,18.80000009,1.80585088,1.80585088,3.61170177,6.08843562,17.10000055,7.30679349,20.49999963
6.67812673,18.77500073,1.83234130,1.83234130,3.66468261,6.06018553,17.05000122,7.29606793,20.50000025
6.66760120,18.77500086,1.83227175,1.83227175,3.66454349,6.04986420,17.05000209,7.28533819,20.49999963
6.65977824,18.78253506,1.84020396,1.84020396,3.68040791,6.03955729,17.05000033,7.27999919,20.51506978
6.65499986,18.79856596,1.85497806,1.85497806,3.70995612,6.03000012,17.05204973,7.27999961,20.54508218
6.67550720,18.88528626,1.76802122,1.76802122,3.53604245,6.08000043,17.22057285,7.27101397,20.54999967
6.67013030,18.89966601,1.75266964,1.75266964,3.50533928,6.08000026,17.24933350,7.26026033,20.54999853
6.66475343,18.91404963,1.73731690,1.73731690,3.47463380,6.08000056,17.27809911,7.24950629,20.55000015
6.65937381,18.92842307,1.72197029,1.72197029,3.44394058,6.08000044,17.30684724,7.23874718,20.54999890
6.65399264,18.94279436,1.70662604,1.70662604,3.41325208,6.08000044,17.33559014,7.22798485,20.54999857
6.64605423,18.94999937,1.69888920,1.69888920,3.39777840,6.07488997,17.35000065,7.21721848,20.54999809
