x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
-7.78595734,-8.39715767,1.37412598,1.56605469,2.94018066,-9.15999789,-8.41247987,-6.22000001,-8.37969537
-7.78598261,-8.38716316,1.37409912,1.56607666,2.94017578,-9.15999884,-8.40225729,-6.22000041,-8.36996021
-7.78600740,-8.37716198,1.37407227,1.56609863,2.94017090,-9.15999924,-8.39203299,-6.22000044,-8.36021274
-7.78603172,-8.36716080,1.37404541,1.56612061,2.94016602,-9.15999900,-8.38181331,-6.22000017,-8.35046004
-7.78605652,-8.35715866,1.37401855,1.56614258,2.94016113,-9.15999924,-8.37159854,-6.22000038,-8.34069971
-7.78608131,-8.34716320,1.37398926,1.63616943,3.01015869,-9.15999687,-8.36139470,-6.14999965,-8.33021609
-7.78610611,-8.33716106,1.37396240,1.63619141,3.01015381,-9.15999694,-8.35118916,-6.14999994,-8.32045563
-7.78613138,-8.32715797,1.37393555,1.63621338,3.01014893,-9.15999732,-8.34098723,-6.15000090,-8.31068878
-7.78615665,-8.31716251,1.30390625,1.63623779,2.94014404,-9.08999871,-8.33010250,-6.14999942,-8.30092447
-7.78618240,-8.30716038,1.30387939,1.63625977,2.94013916,-9.08999939,-8.31992067,-6.15000095,-8.29114728
-7.78620863,-8.29715729,1.30385010,1.63628418,2.94013428,-9.08999803,-8.30974255,-6.15000062,-8.28136324
-7.78623486,-8.28715420,1.30382324,1.63630859,2.94013184,-9.08999904,-8.29956790,-6.15000039,-8.27157490
-7.78626204,-8.27715874,1.30379395,1.63633301,2.94012695,-9.08999847,-8.28940523,-6.15000120,-8.26178872
-7.78628969,-8.26715565,1.30376465,1.63635986,2.94012451,-9.08999839,-8.27923898,-6.15000005,-8.25198981
-7.78631783,-8.25715256,1.30373535,1.63638672,2.94012207,-9.08999870,-8.26907676,-6.14999948,-8.24218587
-7.78634739,-8.24715042,1.30370361,1.63641357,2.94011719,-9.08999793,-8.25891889,-6.15000043,-8.23237860
-7.78637743,-8.23715687,1.30367188,1.63644287,2.94011475,-9.08999755,-8.24877366,-6.14999952,-8.22257482
